variable,display_name,group,analysis_level,definition,formula,numerator,denominator,unit,token_rule,sentence_rule,method,preprocessing,missing_rule,zero_rule,conditional_sample,source_columns,source_dataset,source_scripts,validation_rule,interpretation,limitation,aliases
concreteness_status,Concreteness Status,Source / Derived,Firm-year,concreteness_status is retained from the validated extended panel without remeasurement.,concreteness_status = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,concreteness_status,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
lm_ai_status,Lm Ai Status,Source / Derived,Firm-year,lm_ai_status is retained from the validated extended panel without remeasurement.,lm_ai_status = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,lm_ai_status,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
lm_report_status,Lm Report Status,Source / Derived,Firm-year,lm_report_status is retained from the validated extended panel without remeasurement.,lm_report_status = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,lm_report_status,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
matching_strategy_version,Matching Strategy Version,Source / Derived,Firm-year,matching_strategy_version is retained from the validated extended panel without remeasurement.,matching_strategy_version = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,matching_strategy_version,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
concreteness_preprocessing_version,Concreteness Preprocessing Version,Source / Derived,Firm-year,concreteness_preprocessing_version is retained from the validated extended panel without remeasurement.,concreteness_preprocessing_version = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,concreteness_preprocessing_version,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
warning_count,Warning Count,Source / Derived,Firm-year,warning_count is retained from the validated extended panel without remeasurement.,warning_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,warning_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
has_single_ai_sentence_warning,Has Single Ai Sentence Warning,Source / Derived,Firm-year,has_single_ai_sentence_warning is retained from the validated extended panel without remeasurement.,has_single_ai_sentence_warning = source-defined indicator,Source-defined or not applicable,Source-defined or not applicable,Binary indicator,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,has_single_ai_sentence_warning,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
has_stem_collision_warning,Has Stem Collision Warning,Source / Derived,Firm-year,has_stem_collision_warning is retained from the validated extended panel without remeasurement.,has_stem_collision_warning = source-defined indicator,Source-defined or not applicable,Source-defined or not applicable,Binary indicator,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,has_stem_collision_warning,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
has_denominator_zero_warning,Has Denominator Zero Warning,Source / Derived,Firm-year,has_denominator_zero_warning is retained from the validated extended panel without remeasurement.,has_denominator_zero_warning = source-defined indicator,Source-defined or not applicable,Source-defined or not applicable,Binary indicator,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,has_denominator_zero_warning,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
has_extraction_warning,Has Extraction Warning,Source / Derived,Firm-year,has_extraction_warning is retained from the validated extended panel without remeasurement.,has_extraction_warning = source-defined indicator,Source-defined or not applicable,Source-defined or not applicable,Binary indicator,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,has_extraction_warning,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
has_any_warning,Has Any Warning,Source / Derived,Firm-year,has_any_warning is retained from the validated extended panel without remeasurement.,has_any_warning = source-defined indicator,Source-defined or not applicable,Source-defined or not applicable,Binary indicator,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,has_any_warning,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
has_failed_status,Has Failed Status,Source / Derived,Firm-year,has_failed_status is retained from the validated extended panel without remeasurement.,has_failed_status = source-defined indicator,Source-defined or not applicable,Source-defined or not applicable,Binary indicator,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,has_failed_status,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_disclosure_flag,Ai Disclosure Flag,Source / Derived,Firm-year,ai_disclosure_flag is retained from the validated extended panel without remeasurement.,ai_disclosure_flag = source-defined indicator,Source-defined or not applicable,Source-defined or not applicable,Binary indicator,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_disclosure_flag,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
panel_start_year,Panel Start Year,Source / Derived,Firm-year,panel_start_year is retained from the validated extended panel without remeasurement.,panel_start_year = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,panel_start_year,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
panel_end_year,Panel End Year,Source / Derived,Firm-year,panel_end_year is retained from the validated extended panel without remeasurement.,panel_end_year = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,panel_end_year,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
panel_year_count,Panel Year Count,Source / Derived,Firm-year,panel_year_count is retained from the validated extended panel without remeasurement.,panel_year_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,panel_year_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
is_balanced_2020_2025,Is Balanced 2020 2025,Source / Derived,Firm-year,is_balanced_2020_2025 is retained from the validated extended panel without remeasurement.,is_balanced_2020_2025 = source-defined indicator,Source-defined or not applicable,Source-defined or not applicable,Binary indicator,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,is_balanced_2020_2025,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
has_gap_within_observed_period,Has Gap Within Observed Period,Source / Derived,Firm-year,has_gap_within_observed_period is retained from the validated extended panel without remeasurement.,has_gap_within_observed_period = source-defined indicator,Source-defined or not applicable,Source-defined or not applicable,Binary indicator,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,has_gap_within_observed_period,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ticker_changed_within_panel,Ticker Changed Within Panel,Source / Derived,Firm-year,ticker_changed_within_panel is retained from the validated extended panel without remeasurement.,ticker_changed_within_panel = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ticker_changed_within_panel,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
company_name_changed_within_panel,Company Name Changed Within Panel,Source / Derived,Firm-year,company_name_changed_within_panel is retained from the validated extended panel without remeasurement.,company_name_changed_within_panel = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,company_name_changed_within_panel,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
cik_changed_within_panel,Cik Changed Within Panel,Source / Derived,Firm-year,cik_changed_within_panel is retained from the validated extended panel without remeasurement.,cik_changed_within_panel = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,cik_changed_within_panel,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
first_observed_year,First Observed Year,Source / Derived,Firm-year,first_observed_year is retained from the validated extended panel without remeasurement.,first_observed_year = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,first_observed_year,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
last_observed_year,Last Observed Year,Source / Derived,Firm-year,last_observed_year is retained from the validated extended panel without remeasurement.,last_observed_year = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,last_observed_year,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_disclosure_flag_lag1,Ai Disclosure Flag Lag1,Source / Derived,Firm-year,ai_disclosure_flag_lag1 is retained from the validated extended panel without remeasurement.,ai_disclosure_flag_lag1 = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_disclosure_flag_lag1,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_disclosure_flag_change,Ai Disclosure Flag Change,Source / Derived,Firm-year,ai_disclosure_flag_change is retained from the validated extended panel without remeasurement.,ai_disclosure_flag_change = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_disclosure_flag_change,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_sentence_count_lag1,Ai Sentence Count Lag1,Source / Derived,Firm-year,ai_sentence_count_lag1 is retained from the validated extended panel without remeasurement.,ai_sentence_count_lag1 = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_sentence_count_lag1,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_sentence_count_change,Ai Sentence Count Change,Source / Derived,Firm-year,ai_sentence_count_change is retained from the validated extended panel without remeasurement.,ai_sentence_count_change = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_sentence_count_change,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_concreteness_mean_lag1,Ai Concreteness Mean Lag1,Source / Derived,Firm-year,ai_concreteness_mean_lag1 is retained from the validated extended panel without remeasurement.,ai_concreteness_mean_lag1 = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_concreteness_mean_lag1,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_concreteness_mean_change,Ai Concreteness Mean Change,Source / Derived,Firm-year,ai_concreteness_mean_change is retained from the validated extended panel without remeasurement.,ai_concreteness_mean_change = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_concreteness_mean_change,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_mean_lag1,Report Concreteness Mean Lag1,Source / Derived,Firm-year,report_concreteness_mean_lag1 is retained from the validated extended panel without remeasurement.,report_concreteness_mean_lag1 = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_mean_lag1,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_concreteness_mean_change,Report Concreteness Mean Change,Source / Derived,Firm-year,report_concreteness_mean_change is retained from the validated extended panel without remeasurement.,report_concreteness_mean_change = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_concreteness_mean_change,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_positive_count_lag1,Ai Positive Count Lag1,Source / Derived,Firm-year,ai_positive_count_lag1 is retained from the validated extended panel without remeasurement.,ai_positive_count_lag1 = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_positive_count_lag1,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_positive_count_change,Ai Positive Count Change,Source / Derived,Firm-year,ai_positive_count_change is retained from the validated extended panel without remeasurement.,ai_positive_count_change = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_positive_count_change,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_negative_count_lag1,Ai Negative Count Lag1,Source / Derived,Firm-year,ai_negative_count_lag1 is retained from the validated extended panel without remeasurement.,ai_negative_count_lag1 = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_negative_count_lag1,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_negative_count_change,Ai Negative Count Change,Source / Derived,Firm-year,ai_negative_count_change is retained from the validated extended panel without remeasurement.,ai_negative_count_change = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_negative_count_change,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_uncertainty_count_lag1,Ai Uncertainty Count Lag1,Source / Derived,Firm-year,ai_uncertainty_count_lag1 is retained from the validated extended panel without remeasurement.,ai_uncertainty_count_lag1 = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_uncertainty_count_lag1,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
ai_uncertainty_count_change,Ai Uncertainty Count Change,Source / Derived,Firm-year,ai_uncertainty_count_change is retained from the validated extended panel without remeasurement.,ai_uncertainty_count_change = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,ai_uncertainty_count_change,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_positive_count_lag1,Report Positive Count Lag1,Source / Derived,Firm-year,report_positive_count_lag1 is retained from the validated extended panel without remeasurement.,report_positive_count_lag1 = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_positive_count_lag1,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_positive_count_change,Report Positive Count Change,Source / Derived,Firm-year,report_positive_count_change is retained from the validated extended panel without remeasurement.,report_positive_count_change = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_positive_count_change,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_negative_count_lag1,Report Negative Count Lag1,Source / Derived,Firm-year,report_negative_count_lag1 is retained from the validated extended panel without remeasurement.,report_negative_count_lag1 = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_negative_count_lag1,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_negative_count_change,Report Negative Count Change,Source / Derived,Firm-year,report_negative_count_change is retained from the validated extended panel without remeasurement.,report_negative_count_change = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_negative_count_change,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_uncertainty_count_lag1,Report Uncertainty Count Lag1,Source / Derived,Firm-year,report_uncertainty_count_lag1 is retained from the validated extended panel without remeasurement.,report_uncertainty_count_lag1 = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_uncertainty_count_lag1,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
report_uncertainty_count_change,Report Uncertainty Count Change,Source / Derived,Firm-year,report_uncertainty_count_change is retained from the validated extended panel without remeasurement.,report_uncertainty_count_change = copied source value,Source-defined or not applicable,Source-defined or not applicable,Source value,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,report_uncertainty_count_change,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
past_tense_count,Past Tense Count,Source / Derived,Firm-year,past_tense_count is retained from the validated extended panel without remeasurement.,past_tense_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,past_tense_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
present_tense_count,Present Tense Count,Source / Derived,Firm-year,present_tense_count is retained from the validated extended panel without remeasurement.,present_tense_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,present_tense_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
future_tense_count,Future Tense Count,Source / Derived,Firm-year,future_tense_count is retained from the validated extended panel without remeasurement.,future_tense_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,future_tense_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
finite_verb_count,Finite Verb Count,Source / Derived,Firm-year,finite_verb_count is retained from the validated extended panel without remeasurement.,finite_verb_count = source-defined eligible unit count,Source-defined or not applicable,Source-defined or not applicable,Count,Inherited from source measurement.,Inherited from source measurement.,Existing source measurement,No transformation beyond serialization.,Source missing remains null.,Source zero remains zero.,Source-defined sample,finite_verb_count,analysis/descriptive_2020_2025/firm_year_language_extended.csv,scripts/build_extended_language_panel.py,Source column exists; null semantics preserved.,Interpret according to the source variable dictionary.,This generated generic description must be supplemented before publication if the variable is used as a primary construct.,
